latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.328,77.6247,318,1.1,1,2023-01-01,0821,Aqua,MODIS,62,61.03,305,7.6,D,0
10.4797,77.9378,313.8,1,1,2023-01-01,0822,Aqua,MODIS,58,61.03,299.4,4.3,D,0
13.2478,77.2639,314.7,1,1,2023-01-01,0822,Aqua,MODIS,55,61.03,302.4,4.9,D,0
12.2994,78.4085,314.3,1,1,2023-01-01,0822,Aqua,MODIS,58,61.03,301.9,4.8,D,0
14.1723,75.5024,338.4,1.2,1.1,2023-01-01,0823,Aqua,MODIS,88,61.03,305.3,41.5,D,0
14.1707,75.4922,322.2,1.2,1.1,2023-01-01,0823,Aqua,MODIS,66,61.03,301.7,16,D,0
15.1699,76.67,319.2,1,1,2023-01-01,0823,Aqua,MODIS,22,61.03,305.3,6.7,D,2
14.9327,75.1098,317.1,1.2,1.1,2023-01-01,0823,Aqua,MODIS,38,61.03,302.4,9.6,D,0
15.2106,76.6382,320.4,1,1,2023-01-01,0823,Aqua,MODIS,60,61.03,305.8,9.6,D,0
16.1519,80.6908,319.1,1.3,1.1,2023-01-01,0823,Aqua,MODIS,30,61.03,300.9,12.6,D,0
16.1689,80.5126,315.8,1.2,1.1,2023-01-01,0823,Aqua,MODIS,53,61.03,299.2,8.8,D,0
16.3211,80.5019,318.1,1.2,1.1,2023-01-01,0823,Aqua,MODIS,66,61.03,302.3,10,D,0
16.3635,80.6725,318,1.3,1.1,2023-01-01,0823,Aqua,MODIS,64,61.03,300.8,9.2,D,0
16.3847,80.5916,322.4,1.3,1.1,2023-01-01,0823,Aqua,MODIS,74,61.03,301.3,15.9,D,0
16.3947,80.5902,317.6,1.3,1.1,2023-01-01,0823,Aqua,MODIS,41,61.03,299.4,9.3,D,0
15.7456,75.0629,328.3,1.2,1.1,2023-01-01,0823,Aqua,MODIS,78,61.03,305.6,20.6,D,0
16.0301,76.0803,324.1,1.1,1,2023-01-01,0823,Aqua,MODIS,69,61.03,309,9.8,D,0
16.3194,75.9736,333.5,1.1,1,2023-01-01,0823,Aqua,MODIS,72,61.03,306.5,24.4,D,0
16.3179,75.9638,332.1,1.1,1,2023-01-01,0823,Aqua,MODIS,61,61.03,306.8,22.7,D,0
16.1723,73.8113,317.2,1.4,1.2,2023-01-01,0823,Aqua,MODIS,59,61.03,300,15.1,D,0
16.5463,75.2788,321.5,1.1,1.1,2023-01-01,0823,Aqua,MODIS,66,61.03,305.9,11.3,D,0
16.5448,75.2684,321,1.1,1.1,2023-01-01,0823,Aqua,MODIS,64,61.03,304.5,11,D,0
16.7656,76.3007,329.3,1,1,2023-01-01,0823,Aqua,MODIS,78,61.03,310.3,14.2,D,0
